FIPS,county_name,median_age
16055,"Kootenai County, Idaho",40.7
16057,"Latah County, Idaho",30.3
16059,"Lemhi County, Idaho",53.2
16061,"Lewis County, Idaho",49.1
16063,"Lincoln County, Idaho",37.3
16065,"Madison County, Idaho",21.6
16067,"Minidoka County, Idaho",34.9
16069,"Nez Perce County, Idaho",40.7
16071,"Oneida County, Idaho",39.7
16073,"Owyhee County, Idaho",38.9
16075,"Payette County, Idaho",40.0
16077,"Power County, Idaho",35.3
16079,"Shoshone County, Idaho",46.1
16081,"Teton County, Idaho",38.6
16083,"Twin Falls County, Idaho",35.5
16085,"Valley County, Idaho",48.9
16087,"Washington County, Idaho",44.7
17001,"Adams County, Illinois",41.3
17003,"Alexander County, Illinois",44.9
17005,"Bond County, Illinois",40.0
17007,"Boone County, Illinois",39.0
17009,"Brown County, Illinois",38.5
17011,"Bureau County, Illinois",44.0
17013,"Calhoun County, Illinois",48.1
17015,"Carroll County, Illinois",45.0
17017,"Cass County, Illinois",38.8
17019,"Champaign County, Illinois",30.8
17021,"Christian County, Illinois",42.2
17023,"Clark County, Illinois",41.4
17025,"Clay County, Illinois",41.8
17027,"Clinton County, Illinois",41.0
17029,"Coles County, Illinois",37.4
17031,"Cook County, Illinois",37.5
17033,"Crawford County, Illinois",42.2
17035,"Cumberland County, Illinois",42.6
17037,"DeKalb County, Illinois",31.8
17039,"De Witt County, Illinois",44.0
17041,"Douglas County, Illinois",38.6
17043,"DuPage County, Illinois",39.9
17045,"Edgar County, Illinois",46.0
17047,"Edwards County, Illinois",44.2
17049,"Effingham County, Illinois",39.3
17051,"Fayette County, Illinois",42.1
17053,"Ford County, Illinois",42.0
17055,"Franklin County, Illinois",43.2
17057,"Fulton County, Illinois",43.6
17059,"Gallatin County, Illinois",46.9
17061,"Greene County, Illinois",42.7
17063,"Grundy County, Illinois",38.8
17065,"Hamilton County, Illinois",43.0
17067,"Hancock County, Illinois",45.9
17069,"Hardin County, Illinois",53.9
17071,"Henderson County, Illinois",49.6
17073,"Henry County, Illinois",43.5
17075,"Iroquois County, Illinois",44.5
17077,"Jackson County, Illinois",32.6
17079,"Jasper County, Illinois",44.0
17081,"Jefferson County, Illinois",41.2
17083,"Jersey County, Illinois",42.8
17085,"Jo Daviess County, Illinois",50.8
17087,"Johnson County, Illinois",42.3
17089,"Kane County, Illinois",38.3
17091,"Kankakee County, Illinois",38.9
17093,"Kendall County, Illinois",36.1
17095,"Knox County, Illinois",42.3
17097,"Lake County, Illinois",38.7
17099,"LaSalle County, Illinois",41.9
17101,"Lawrence County, Illinois",40.9
17103,"Lee County, Illinois",42.8
17105,"Livingston County, Illinois",41.9
17107,"Logan County, Illinois",40.3
17109,"McDonough County, Illinois",34.9
17111,"McHenry County, Illinois",40.5
17113,"McLean County, Illinois",34.0
17115,"Macon County, Illinois",40.7
17117,"Macoupin County, Illinois",44.0
17119,"Madison County, Illinois",39.9
17121,"Marion County, Illinois",41.9
17123,"Marshall County, Illinois",46.2
17125,"Mason County, Illinois",45.4
17127,"Massac County, Illinois",44.1
17129,"Menard County, Illinois",42.8
17131,"Mercer County, Illinois",44.7
17133,"Monroe County, Illinois",42.5
17135,"Montgomery County, Illinois",42.7
17137,"Morgan County, Illinois",41.4
17139,"Moultrie County, Illinois",40.5
17141,"Ogle County, Illinois",42.3
17143,"Peoria County, Illinois",38.1
17145,"Perry County, Illinois",42.2
17147,"Piatt County, Illinois",41.8
17149,"Pike County, Illinois",42.8
17151,"Pope County, Illinois",49.7
17153,"Pulaski County, Illinois",43.9
17155,"Putnam County, Illinois",47.4
17157,"Randolph County, Illinois",43.0
17159,"Richland County, Illinois",42.2
17161,"Rock Island County, Illinois",40.2
17163,"St. Clair County, Illinois",39.4
17165,"Saline County, Illinois",43.2
17167,"Sangamon County, Illinois",40.6
17169,"Schuyler County, Illinois",48.2
17171,"Scott County, Illinois",44.7
17173,"Shelby County, Illinois",44.9
17175,"Stark County, Illinois",44.8
17177,"Stephenson County, Illinois",45.6
17179,"Tazewell County, Illinois",41.6
17181,"Union County, Illinois",44.7
17183,"Vermilion County, Illinois",40.8
17185,"Wabash County, Illinois",43.8
17187,"Warren County, Illinois",40.1
17189,"Washington County, Illinois",44.0
17191,"Wayne County, Illinois",42.9
